sample,time_s,Fx,Fy,Fz,Mx,My,Mz,COP_AP,COP_ML,fs
0,0.000,1.723319,1.118898,689.699961,0.134268,-0.206798,0.000000,-38.733385,10.108050,1000
1,0.001,1.741381,1.122379,689.748362,0.134686,-0.208966,0.000170,-38.715207,10.111158,1000
2,0.002,1.759406,1.125849,689.796723,0.135102,-0.211129,0.000339,-38.697042,10.114262,1000
3,0.003,1.777392,1.129306,689.845029,0.135517,-0.213287,0.000509,-38.678890,10.117361,1000
4,0.004,1.795336,1.132748,689.893263,0.135930,-0.215440,0.000679,-38.660753,10.120456,1000
5,0.005,1.813235,1.136176,689.941410,0.136341,-0.217588,0.000848,-38.642629,10.123545,1000
6,0.006,1.831087,1.139588,689.989452,0.136751,-0.219730,0.001018,-38.624521,10.126629,1000
7,0.007,1.848888,1.142982,690.037374,0.137158,-0.221867,0.001187,-38.606429,10.129707,1000
8,0.008,1.866637,1.146360,690.085160,0.137563,-0.223996,0.001357,-38.588354,10.132779,1000
9,0.009,1.884328,1.149718,690.132793,0.137966,-0.226119,0.001526,-38.570296,10.135845,1000
10,0.010,1.901961,1.153056,690.180258,0.138367,-0.228235,0.001696,-38.552255,10.138905,1000
11,0.011,1.919532,1.156374,690.227538,0.138765,-0.230344,0.001865,-38.534233,10.141957,1000
12,0.012,1.937039,1.159671,690.274617,0.139160,-0.232445,0.002034,-38.516231,10.145002,1000
13,0.013,1.954478,1.162944,690.321481,0.139553,-0.234537,0.002203,-38.498248,10.148040,1000
14,0.014,1.971847,1.166194,690.368112,0.139943,-0.236622,0.002373,-38.480286,10.151070,1000
15,0.015,1.989143,1.169420,690.414495,0.140330,-0.238697,0.002542,-38.462344,10.154092,1000
16,0.016,2.006363,1.172620,690.460614,0.140714,-0.240764,0.002711,-38.444425,10.157105,1000
17,0.017,2.023504,1.175793,690.506455,0.141095,-0.242821,0.002880,-38.426528,10.160110,1000
18,0.018,2.040564,1.178939,690.552001,0.141473,-0.244868,0.003048,-38.408654,10.163106,1000
19,0.019,2.057540,1.182057,690.597238,0.141847,-0.246905,0.003217,-38.390804,10.166093,1000
20,0.020,2.074430,1.185146,690.642150,0.142217,-0.248932,0.003386,-38.372978,10.169070,1000
21,0.021,2.091229,1.188204,690.686722,0.142584,-0.250948,0.003554,-38.355177,10.172037,1000
22,0.022,2.107937,1.191231,690.730939,0.142948,-0.252952,0.003723,-38.337402,10.174995,1000
23,0.023,2.124549,1.194226,690.774786,0.143307,-0.254946,0.003891,-38.319654,10.177942,1000
24,0.024,2.141064,1.197188,690.818249,0.143663,-0.256928,0.004059,-38.301932,10.180878,1000
25,0.025,2.157478,1.200116,690.861313,0.144014,-0.258897,0.004227,-38.284238,10.183803,1000
26,0.026,2.173789,1.203009,690.903964,0.144361,-0.260855,0.004395,-38.266572,10.186718,1000
