sample,time_s,Fx,Fy,Fz,Mx,My,Mz,COP_AP,COP_ML,fs
0,0.000,2.146591,0.394212,690.854340,0.047305,-0.257591,0.000000,-37.194213,8.095033,1000
1,0.001,2.160753,0.396609,690.897425,0.047593,-0.259290,0.000170,-37.180489,8.097055,1000
2,0.002,2.174870,0.399001,690.940466,0.047880,-0.260984,0.000339,-37.166781,8.099075,1000
3,0.003,2.188941,0.401388,690.983446,0.048167,-0.262673,0.000509,-37.153088,8.101093,1000
4,0.004,2.202961,0.403768,691.026349,0.048452,-0.264355,0.000679,-37.139413,8.103108,1000
5,0.005,2.216929,0.406140,691.069158,0.048737,-0.266031,0.000848,-37.125755,8.105121,1000
6,0.006,2.230841,0.408503,691.111858,0.049020,-0.267701,0.001018,-37.112115,8.107131,1000
7,0.007,2.244695,0.410857,691.154432,0.049303,-0.269363,0.001187,-37.098494,8.109138,1000
8,0.008,2.258488,0.413200,691.196864,0.049584,-0.271019,0.001357,-37.084893,8.111142,1000
9,0.009,2.272218,0.415531,691.239139,0.049864,-0.272666,0.001526,-37.071311,8.113142,1000
10,0.010,2.285880,0.417850,691.281239,0.050142,-0.274306,0.001696,-37.057751,8.115137,1000
11,0.011,2.299474,0.420156,691.323150,0.050419,-0.275937,0.001865,-37.044211,8.117129,1000
12,0.012,2.312996,0.422447,691.364855,0.050694,-0.277560,0.002034,-37.030694,8.119116,1000
13,0.013,2.326443,0.424723,691.406338,0.050967,-0.279173,0.002203,-37.017200,8.121098,1000
14,0.014,2.339813,0.426982,691.447584,0.051238,-0.280778,0.002373,-37.003728,8.123075,1000
15,0.015,2.353102,0.429225,691.488576,0.051507,-0.282372,0.002542,-36.990281,8.125046,1000
16,0.016,2.366309,0.431449,691.529301,0.051774,-0.283957,0.002711,-36.976858,8.127012,1000
17,0.017,2.379430,0.433654,691.569740,0.052038,-0.285532,0.002880,-36.963461,8.128971,1000
18,0.018,2.392463,0.435839,691.609881,0.052301,-0.287096,0.003048,-36.950089,8.130925,1000
19,0.019,2.405405,0.438003,691.649706,0.052560,-0.288649,0.003217,-36.936744,8.132871,1000
20,0.020,2.418253,0.440145,691.689202,0.052817,-0.290190,0.003386,-36.923426,8.134811,1000
21,0.021,2.431005,0.442264,691.728352,0.053072,-0.291721,0.003554,-36.910136,8.136743,1000
22,0.022,2.443659,0.444359,691.767143,0.053323,-0.293239,0.003723,-36.896875,8.138668,1000
23,0.023,2.456210,0.446430,691.805559,0.053572,-0.294745,0.003891,-36.883642,8.140586,1000
24,0.024,2.468658,0.448474,691.843586,0.053817,-0.296239,0.004059,-36.870439,8.142495,1000
25,0.025,2.480999,0.450493,691.881209,0.054059,-0.297720,0.004227,-36.857267,8.144396,1000
26,0.026,2.493231,0.452484,691.918414,0.054298,-0.299188,0.004395,-36.844126,8.146288,1000
27,0.027,2.505351,0.454446,691.955186,0.054534,-0.300642,0.004563,-36.831016,8.148171,1000
28,0.028,2.517357,0.456379,691.991513,0.054765,-0.302083,0.004730,-36.817938,8.150046,1000
29,0.029,2.529245,0.458282,692.027379,0.054994,-0.303509,0.004898,-36.804894,8.151910,1000
30,0.030,2.541015,0.460154,692.062771,0.055218,-0.304922,0.005065,-36.791883,8.153765,1000
31,0.031,2.552662,0.461993,692.097676,0.055439,-0.306319,0.005232,-36.778906,8.155610,1000
32,0.032,2.564185,0.463800,692.132080,0.055656,-0.307702,0.005399,-36.765964,8.157444,1000
33,0.033,2.575581,0.465573,692.165971,0.055869,-0.309070,0.005566,-36.753057,8.159268,1000
34,0.034,2.586848,0.467311,692.199335,0.056077,-0.310422,0.005732,-36.740186,8.161081,1000
35,0.035,2.597983,0.469014,692.232160,0.056282,-0.311758,0.005899,-36.727352,8.162882,1000
36,0.036,2.608984,0.470680,692.264433,0.056482,-0.313078,0.006065,-36.714556,8.164673,1000
37,0.037,2.619849,0.472308,692.296142,0.056677,-0.314382,0.006231,-36.701797,8.166451,1000
38,0.038,2.630575,0.473899,692.327274,0.056868,-0.315669,0.006397,-36.689077,8.168217,1000
39,0.039,2.641160,0.475450,692.357818,0.057054,-0.316939,0.006563,-36.676396,8.169971,1000
40,0.040,2.651601,0.476962,692.387763,0.057235,-0.318192,0.006728,-36.663754,8.171713,1000
41,0.041,2.661897,0.478432,692.417097,0.057412,-0.319428,0.006893,-36.651154,8.173441,1000
42,0.042,2.672044,0.479861,692.445808,0.057583,-0.320645,0.007058,-36.638594,8.175157,1000
43,0.043,2.682042,0.481247,692.473886,0.057750,-0.321845,0.007223,-36.626076,8.176858,1000
44,0.044,2.691887,0.482590,692.501320,0.057911,-0.323026,0.007388,-36.613600,8.178547,1000
45,0.045,2.701577,0.483889,692.528100,0.058067,-0.324189,0.007552,-36.601167,8.180221,1000
46,0.046,2.711111,0.485143,692.554215,0.058217,-0.325333,0.007716,-36.588777,8.181881,1000
47,0.047,2.720486,0.486351,692.579656,0.058362,-0.326458,0.007880,-36.576432,8.183526,1000
48,0.048,2.729700,0.487512,692.604413,0.058501,-0.327564,0.008043,-36.564131,8.185156,1000
49,0.049,2.738751,0.488626,692.628476,0.058635,-0.328650,0.008207,-36.551875,8.186771,1000
50,0.050,2.747637,0.489691,692.651837,0.058763,-0.329716,0.008370,-36.539666,8.188371,1000
51,0.051,2.756356,0.490708,692.674486,0.058885,-0.330763,0.008533,-36.527503,8.189955,1000
52,0.052,2.764905,0.491674,692.696415,0.059001,-0.331789,0.008695,-36.515387,8.191524,1000
53,0.053,2.773284,0.492590,692.717616,0.059111,-0.332794,0.008857,-36.503318,8.193075,1000
54,0.054,2.781490,0.493454,692.738080,0.059214,-0.333779,0.009019,-36.491298,8.194611,1000
55,0.055,2.789520,0.494266,692.757801,0.059312,-0.334742,0.009181,-36.479327,8.196130,1000
56,0.056,2.797375,0.495025,692.776769,0.059403,-0.335685,0.009342,-36.467406,8.197631,1000
57,0.057,2.805050,0.495730,692.794980,0.059488,-0.336606,0.009503,-36.455534,8.199115,1000
58,0.058,2.812545,0.496381,692.812424,0.059566,-0.337505,0.009664,-36.443713,8.200582,1000
59,0.059,2.819859,0.496976,692.829097,0.059637,-0.338383,0.009824,-36.431943,8.202031,1000
60,0.060,2.826988,0.497515,692.844991,0.059702,-0.339239,0.009985,-36.420226,8.203462,1000
61,0.061,2.833932,0.497998,692.860101,0.059760,-0.340072,0.010144,-36.408560,8.204874,1000
62,0.062,2.840688,0.498423,692.874421,0.059811,-0.340883,0.010304,-36.396948,8.206267,1000
63,0.063,2.847256,0.498790,692.887945,0.059855,-0.341671,0.010463,-36.385389,8.207642,1000
64,0.064,2.853633,0.499097,692.900670,0.059892,-0.342436,0.010622,-36.373884,8.208997,1000
65,0.065,2.859818,0.499346,692.912589,0.059921,-0.343178,0.010780,-36.362434,8.210333,1000
66,0.066,2.865810,0.499533,692.923699,0.059944,-0.343897,0.010939,-36.351040,8.211649,1000
67,0.067,2.871606,0.499660,692.933995,0.059959,-0.344593,0.011096,-36.339701,8.212945,1000
68,0.068,2.877206,0.499725,692.943474,0.059967,-0.345265,0.011254,-36.328419,8.214221,1000
69,0.069,2.882608,0.499728,692.952132,0.059967,-0.345913,0.011411,-36.317193,8.215477,1000
70,0.070,2.887811,0.499668,692.959967,0.059960,-0.346537,0.011568,-36.306025,8.216711,1000
71,0.071,2.892813,0.499544,692.966975,0.059945,-0.347138,0.011724,-36.294916,8.217925,1000
72,0.072,2.897613,0.499355,692.973153,0.059923,-0.347714,0.011880,-36.283865,8.219117,1000
73,0.073,2.902210,0.499102,692.978500,0.059892,-0.348265,0.012035,-36.272873,8.220287,1000
74,0.074,2.906602,0.498783,692.983015,0.059854,-0.348792,0.012191,-36.261941,8.221436,1000
75,0.075,2.910789,0.498397,692.986694,0.059808,-0.349295,0.012345,-36.251069,8.222562,1000
76,0.076,2.914768,0.497945,692.989538,0.059753,-0.349772,0.012500,-36.240258,8.223666,1000
